texto_original,texto_limpio
¿Qué influencia convirtió Japón en una nación industrial?,qué influencia convirtió japón en una nación industrial
¿Cuándo se detuvo el expansionismo de Japón?,cuándo se detuvo el expansionismo de japón
"¿Quién definió el idioma, la escritura y la cultura política del Japón?",quién definió el idioma la escritura y la cultura política del japón
¿Quién obtuvo la medalla de plata?,quién obtuvo la medalla de plata
¿Cuánto medía el circuito?,cuánto medía el circuito
¿Dónde estaba el circuito?,dónde estaba el circuito
¿En qué posición quedó Alla Epyfanova?,en qué posición quedó alla epyfanova
¿Cuándo tendrá lugar la competición masculina?,cuándo tendrá lugar la competición masculina
¿Por cuánto superó Alla Epyfanova a Alison Sydor?,por cuánto superó alla epyfanova a alison sydor
¿De qué nacionalidad es Lorent Enrique Gómez Saleh?,de qué nacionalidad es lorent enrique gómez saleh
¿Son Lorent Enrique Gómez Saleh y Gabriel Valles Sguerzi amigos de Maduro?,son lorent enrique gómez saleh y gabriel valles sguerzi amigos de maduro
¿De dónde han sido sacados Gómez Saleh y Valles Sguerzi?,de dónde han sido sacados gómez saleh y valles sguerzi
¿Dónde se ha producido el incidente?,dónde se ha producido el incidente
¿Qué le ocurrió a la aeronave en la que volaba el político estadounidense?,qué le ocurrió a la aeronave en la que volaba el político estadounidense
¿Cuántas personas iban a bordo del aparato accidentado?,cuántas personas iban a bordo del aparato accidentado
¿A qué género se reasignó el avión roquero en 1850?,a qué género se reasignó el avión roquero en 1850
¿Dónde se encontraron fósiles de avión roquero en el pleistoceno tardío?,dónde se encontraron fósiles de avión roquero en el pleistoceno tardío
¿Cuál es el nombre formal que Scopoli le dio al avión roquero?,cuál es el nombre formal que scopoli le dio al avión roquero
¿Cómo se sitúan los nidos de avión roquero?,cómo se sitúan los nidos de avión roquero
¿Cuándo tiene lugar el emparejamiento de los aviones roqueros?,cuándo tiene lugar el emparejamiento de los aviones roqueros
¿Quién se encarga principalmente de empollar los huevos del avión roquero?,quién se encarga principalmente de empollar los huevos del avión roquero
¿Qué deseaban los ciudadanos de la RDA antes de 1989?,qué deseaban los ciudadanos de la rda antes de 1989
¿Quién estaba al mando de la RDA?,quién estaba al mando de la rda
¿Cuántos ciudadanos de la antigua RDA se trasladaron al Oeste?,cuántos ciudadanos de la antigua rda se trasladaron al oeste
¿Qué profesión tiene Reiner?,qué profesión tiene reiner
¿Qué solicitó al banco?,qué solicitó al banco
¿Cuántos empleados tiene el empresario?,cuántos empleados tiene el empresario
¿Qué es el PGOU?,qué es el pgou
¿Qué cargos ocupa Luciano Alonso?,qué cargos ocupa luciano alonso
¿Qué PGOU tiene todavía validez?,qué pgou tiene todavía validez
¿Quién es el alcalde de Marbella?,quién es el alcalde de marbella
¿Quién es Enrique Salvo?,quién es enrique salvo
¿De cuándo son los textos enviados por el ayuntamiento?,de cuándo son los textos enviados por el ayuntamiento
¿Qué cargo ostenta Josefina Cruz?,qué cargo ostenta josefina cruz
¿De qué ha tachado Cruz la coyuntura actual con el ayuntamiento?,de qué ha tachado cruz la coyuntura actual con el ayuntamiento
¿Quién ha protagonizado la misión de rescate?,quién ha protagonizado la misión de rescate
¿Cómo estaban los militares en el momento de ser rescatados?,cómo estaban los militares en el momento de ser rescatados
¿Cuántos efectivos tiene el ejército italiano en el país islámico?,cuántos efectivos tiene el ejército italiano en el país islámico
¿Cómo se conocía también a la Nintendo Family Computer?,cómo se conocía también a la nintendo family computer
¿Para qué consola se lanzó en 1985 Super Mario Bros.?,para qué consola se lanzó en 1985 super mario bros
¿Cuál es uno de los juegos más populares de Nintendo?,cuál es uno de los juegos más populares de nintendo
¿A quién debe rescatar Mario?,a quién debe rescatar mario
¿Cómo podemos saltar en Super Mario Bros.?,cómo podemos saltar en super mario bros
¿Cuál es la única manera de derrotar a los enemigos que no mueren al saltar sobre ellos?,cuál es la única manera de derrotar a los enemigos que no mueren al saltar sobre ellos
¿Qué ha propuesto el ejecutivo español para reducir las emisiones de dióxido de carbono?,qué ha propuesto el ejecutivo español para reducir las emisiones de dióxido de carbono
¿Cómo ha calificado Greenpeace este proyecto gubernamental?,cómo ha calificado greenpeace este proyecto gubernamental
¿Cuándo fue el asalto terrorista de Nueva York?,cuándo fue el asalto terrorista de nueva york
¿Cuándo acabarán de construir la Torre de la Libertad?,cuándo acabarán de construir la torre de la libertad
¿Cuándo dimitió Tony Blair?,cuándo dimitió tony blair
¿A qué formación política pertenece Ann Widdecombe?,a qué formación política pertenece ann widdecombe
¿Para qué medio trabaja Catherine Pepinster?,para qué medio trabaja catherine pepinster
¿Cuáles son las medidas que presenta la basílica de San Pedro?,cuáles son las medidas que presenta la basílica de san pedro
¿A cuánto asciende la extensión total de la basílica de San Pedro?,a cuánto asciende la extensión total de la basílica de san pedro
¿Quién diseñó los corredores elevados de la basílica de San Pedro?,quién diseñó los corredores elevados de la basílica de san pedro
¿Por qué se crearon las Grutas Vaticanas?,por qué se crearon las grutas vaticanas
¿Quién fue inhumado en las Grutas Vaticanas?,quién fue inhumado en las grutas vaticanas
