texto_original,texto_limpio
¿Cuál era la ciudad con más habitantes de España?,cuál era la ciudad con más habitantes de españa
¿Cuál es el nombre oficial de Azerbaiyán?,cuál es el nombre oficial de azerbaiyán
¿Cuánto tiempo pasan los turistas alemanes en México?,cuánto tiempo pasan los turistas alemanes en méxico
¿Cuál es la referencia del juicio del caso Philip Morris contra Uruguay?,cuál es la referencia del juicio del caso philip morris contra uruguay
¿Qué factor frenará el cólera en República Dominicana en opinión de la OMS?,qué factor frenará el cólera en república dominicana en opinión de la oms
¿A qué colectivo busca proteger Japón con esta medida?,a qué colectivo busca proteger japón con esta medida
¿Por cuánto se impuso el equipo uruguayo a los sudafricanos?,por cuánto se impuso el equipo uruguayo a los sudafricanos
¿Cuándo recibirá Corea del Norte las importaciones de petróleo?,cuándo recibirá corea del norte las importaciones de petróleo
¿Quiénes se instalaron en las costas de Túnez en el siglo X a. C.?,quiénes se instalaron en las costas de túnez en el siglo x a c
¿Dónde jugaron Chile y Paraguay?,dónde jugaron chile y paraguay
¿Quién sugirió la incorporación del jugador brasileño según el presidente?,quién sugirió la incorporación del jugador brasileño según el presidente
¿Cuándo se declaró Túnez en números rojos?,cuándo se declaró túnez en números rojos
¿Con qué parte de Canadá limita el Parque Nacional de los Glaciares?,con qué parte de canadá limita el parque nacional de los glaciares
¿Quién está al frente de la selección de España?,quién está al frente de la selección de españa
¿Dónde estudió Antonio Marruecos?,dónde estudió antonio marruecos
¿Cuántas víctimas mortales ha provocado la crisis boliviana?,cuántas víctimas mortales ha provocado la crisis boliviana
¿Cuál es la moneda de Filipinas?,cuál es la moneda de filipinas
¿Cuándo dimitió Tony Blair?,cuándo dimitió tony blair
¿Cómo anunció el Banco Central de China las subidas de tipos de interés?,cómo anunció el banco central de china las subidas de tipos de interés
¿Qué competición internacional ha ganado la selección italiana?,qué competición internacional ha ganado la selección italiana
¿Qué fase del mundial de baloncesto jugará Argentina gracias a esta victoria?,qué fase del mundial de baloncesto jugará argentina gracias a esta victoria
¿Quién escribió el El Código Civil de la República Argentina?,quién escribió el el código civil de la república argentina
¿Qué ha originado la denuncia contra los dirigentes del Gobierno de Costa Rica?,qué ha originado la denuncia contra los dirigentes del gobierno de costa rica
"¿Cómo iba el individuo que se introdujo en el local educativo al oeste de Río de Janeiro, Brasil?",cómo iba el individuo que se introdujo en el local educativo al oeste de río de janeiro brasil
¿Quién está al mando de Panamá?,quién está al mando de panamá
¿Qué tipo de país es Filipinas?,qué tipo de país es filipinas
¿Cuándo retomó Irán su programa de investigación nuclear?,cuándo retomó irán su programa de investigación nuclear
¿Cómo califica el organismo la realidad de México en materia de derechos humanos?,cómo califica el organismo la realidad de méxico en materia de derechos humanos
¿Por qué empeoró gratamente la situación económica de Túnez?,por qué empeoró gratamente la situación económica de túnez
¿Por qué se abandonó el proyecto de Indiana Smith y el Arca de la Alianza?,por qué se abandonó el proyecto de indiana smith y el arca de la alianza
¿A quién piensa combatir Israel?,a quién piensa combatir israel
¿Cuál es la proporción de hombres y mujeres en la población de Brasil?,cuál es la proporción de hombres y mujeres en la población de brasil
¿Quién era la China Poblana?,quién era la china poblana
¿Cuándo terminará el horario de verano en Brasil?,cuándo terminará el horario de verano en brasil
¿Desde cuándo tiene Suecia un gobierno socialdemócrata?,desde cuándo tiene suecia un gobierno socialdemócrata
¿Cuántas personas fallecen anualmente en las minas de carbón en China?,cuántas personas fallecen anualmente en las minas de carbón en china
¿Quién entrena a Argentina?,quién entrena a argentina
¿Qué permitirá el acuerdo a Panamá?,qué permitirá el acuerdo a panamá
¿Por qué son explotados los haitianos en la República Dominicana?,por qué son explotados los haitianos en la república dominicana
¿Quiénes bombardean a civiles en Libia?,quiénes bombardean a civiles en libia
¿Qué PGOU tiene todavía validez?,qué pgou tiene todavía validez
¿Cuál es la capital de Islandia?,cuál es la capital de islandia
¿Cuántas víctimas mortales hubo en las manifestaciones de Birmania según los activistas?,cuántas víctimas mortales hubo en las manifestaciones de birmania según los activistas
¿Cómo expandió el clan Tokugawa su mando por Japón?,cómo expandió el clan tokugawa su mando por japón
¿A partir de qué nombre se originó la palabra Azerbaiyán?,a partir de qué nombre se originó la palabra azerbaiyán
¿Cómo se llama a la hinchada de Peñarol?,cómo se llama a la hinchada de peñarol
¿Por qué se quieren suspender los fondos a países como España?,por qué se quieren suspender los fondos a países como españa
