,instancia_id,token_id,token,puntuacion_inicial,puntuacion_final,capitalizacion
0,0,10109,la,,,1
1,0,67763,cuestión,,,0
2,0,10196,es,,,0
3,0,10121,que,,,0
4,0,10109,la,,,0
5,0,10173,con,,,0
6,0,100371,##fusión,,,0
7,0,10196,es,,,0
8,0,52781,fácil,,,0
9,0,10104,de,,,0
10,0,13621,ac,,,0
11,0,20534,##lara,,,0
12,0,10129,##r,,,0
13,1,10110,en,,,1
14,1,19272,cambio,,,0
15,1,10125,el,,,0
16,1,13206,mismo,,,0
17,1,10164,al,,,0
18,1,99612,##umna,,,0
19,1,10317,##do,,,0
20,1,11559,está,,,0
21,1,99232,obteniendo,,,0
22,1,15993,unos,,,0
23,1,27870,resultados,,,0
24,1,10183,por,,,0
25,1,52672,encima,,,0
26,1,10104,de,,,0
27,1,10109,la,,,0
28,1,12518,media,,,0
29,1,20499,española,,,0
30,1,10110,en,,,0
31,1,10406,lo,,,0
32,1,10121,que,,,0
33,1,10126,se,,,0
34,1,62605,refiere,,,0
35,1,10164,al,,,0
36,1,66864,castellano,,,0
37,1,193,y,,,0
38,1,10294,si,,,0
39,1,10192,no,,,0
40,1,10182,los,,,0
41,1,17339,ob,,,0
42,1,10991,##tu,,,0
43,1,76076,##viera,,,0
44,1,10192,no,,,0
45,1,10126,se,,,0
46,1,12229,pre,,,0
47,1,25125,##oc,,,0
48,1,45466,##upe,,,0
49,1,16348,porque,,,0
50,1,30479,tomar,,,0
51,1,10836,##ía,,,0
52,1,13386,##mos,,,0
53,1,10285,las,,,0
54,1,10303,op,,,0
55,1,16312,##ort,,,0
56,1,53754,##unas,,,0
57,1,44772,medidas,,,0
58,1,10220,para,,,0
59,1,10121,que,,,0
60,1,36584,eso,,,0
61,1,10553,fue,,,0
62,1,10341,##se,,,0
63,1,13219,así,,,0
64,2,10192,no,,,1
65,2,11573,nos,,,0
66,2,19868,extra,,,0
67,2,13995,##ña,,,0
68,2,10406,lo,,,0
69,2,40447,conoce,,,0
70,2,13386,##mos,,,0
71,2,43477,perfect,,,0
72,2,14272,##amente,,,0
73,3,193,y,,,1
74,3,10110,en,,,0
75,3,10125,el,,,0
76,3,17954,mes,,,0
77,3,10104,de,,,0
78,3,12207,abril,,,0
79,3,13605,hay,,,0
80,3,10153,una,,,0
81,3,18834,orden,,,0
82,3,10119,un,,,0
83,3,31705,mandato,,,0
84,3,10104,de,,,0
85,3,10547,este,,,0
86,3,51833,parlamento,,,0
87,3,45809,exact,,,0
88,3,14272,##amente,,,0
89,3,10220,para,,,0
90,3,10406,lo,,,0
91,3,13206,mismo,,,0
92,3,26219,ap,,,0
93,3,10567,##ro,,,0
94,3,51606,##bado,,,0
95,3,10795,sin,,,0
96,3,35178,ningún,,,0
97,3,38548,voto,,,0
98,3,10110,en,,,0
99,3,11473,contra,,,0
100,3,47599,señor,,,0
101,3,19058,##ías,,,0
102,4,10192,no,,,1
103,4,30668,ol,,,0
104,4,41638,##vide,,,0
105,4,10115,##n,,,0
106,4,10220,para,,,0
107,4,33282,acabar,,,0
108,4,12656,todos,,,0
109,4,10182,los,,,0
110,4,10121,que,,,0
111,4,72673,compone,,,0
112,4,10115,##n,,,0
113,4,11504,esta,,,0
114,4,49368,cámara,,,0
115,4,10121,que,,,0
116,4,12368,cuando,,,0
117,4,37075,pocos,,,0
118,4,10104,de,,,0
119,4,36579,aquí,,,0
120,4,13436,muy,,,0
121,4,37075,pocos,,,0
122,4,18414,hace,,,0
123,4,11278,años,,,0
124,4,10173,con,,,0
125,4,29347,##fia,,,0
126,4,10927,##ban,,,0
127,4,10110,en,,,0
128,4,10121,que,,,0
129,4,10109,la,,,0
130,4,31152,ley,,,0
131,4,193,y,,,0
132,4,10109,la,,,0
133,4,40589,policía,,,0
134,4,33282,acabar,,,0
135,4,15978,##ían,,,0
136,4,10173,con,,,0
137,4,10182,los,,,0
138,4,24595,comando,,,0
139,4,10107,##s,,,0
140,4,11573,nos,,,0
141,4,96376,##otros,,,0
142,4,18419,sí,,,0
143,4,10406,lo,,,0
144,4,171,c,,,0
145,4,10246,##re,,,0
146,4,10836,##ía,,,0
147,4,13386,##mos,,,0
148,5,10110,en,,,1
149,5,19272,cambio,,,0
150,5,18419,sí,,,0
151,5,10126,se,,,0
152,5,36551,sabe,,,0
153,5,10104,de,,,0
154,5,10109,la,,,0
155,5,21110,transfer,,,0
156,5,24549,##encia,,,0
157,5,16348,porque,,,0
158,5,10109,la,,,0
159,5,10228,ha,,,0
160,5,99582,conseguido,,,0
161,5,14444,eu,,,0
162,5,28978,##zko,,,0
163,5,76400,alder,,,0
164,5,10703,##di,,,0
165,5,10144,je,,,0
166,5,11533,##lt,,,0
167,5,32145,##zal,,,0
168,5,11233,##ea,,,0
169,6,42497,claro,,,1
170,6,193,y,,,0
171,6,36584,eso,,,0
172,6,10196,es,,,0
173,6,49341,buen,,,0
174,6,10133,##o,,,0
175,7,11266,pero,,,1
176,7,11410,hasta,,,0
177,7,36579,aquí,,,0
178,7,39492,llega,,,0
179,7,10537,##ba,,,0
180,7,10109,la,,,0
181,7,11170,co,,,0
182,7,57204,##here,,,0
183,7,13212,##ncia,,,0
184,7,10104,de,,,0
185,7,10285,las,,,0
186,7,58450,propuesta,,,0
187,7,10107,##s,,,0
188,7,10127,del,,,0
189,7,15207,partido,,,0
190,7,12600,popular,,,1
191,8,11395,solo,,,1
192,8,10106,in,,,0
193,8,27794,##cre,,,0
194,8,31910,##menta,,,0
195,8,10605,##ndo,,,0
196,8,11564,también,,,0
197,8,10109,la,,,0
198,8,10680,red,,,0
199,8,10104,de,,,0
200,8,37854,atención,,,0
201,8,169,a,,,0
202,8,10285,las,,,0
203,8,14888,personas,,,0
204,8,10104,de,,,0
205,8,10109,la,,,0
206,8,25826,tercera,,,0
207,8,22757,edad,,,0
208,8,11202,pod,,,0
209,8,94976,##remo,,,0
210,8,10107,##s,,,0
211,8,10854,cu,,,0
212,8,51964,##brir,,,0
213,8,10109,la,,,0
214,8,56265,necesidad,,,0
215,8,10104,de,,,0
216,8,10198,su,,,0
217,8,86617,asistencia,,,0
218,8,10795,sin,,,0
219,8,10121,que,,,0
220,8,11504,esta,,,0
221,8,103778,reca,,,0
222,8,15342,##iga,,,0
223,8,10225,como,,,0
224,8,26088,pasa,,,0
225,8,25235,hoy,,,0
226,8,10110,en,,,0
227,8,14184,día,,,0
228,8,91430,fundamentalmente,,,0
229,8,10110,en,,,0
230,8,10285,las,,,0
231,8,22354,mujeres,,,0
232,9,16720,entonces,,,1
233,9,46960,pus,,,0
234,9,75086,##imos,,,0
235,9,10104,de,,,0
236,9,52321,mani,,,0
237,9,63199,##fies,,,0
238,9,10340,##to,,,0
239,9,38188,qué,,,0
240,9,10196,es,,,0
241,9,10406,lo,,,0
242,9,10121,que,,,0
243,9,104471,cabe,,,0
244,9,75921,esperar,,,0
245,9,10104,de,,,0
246,9,13916,eit,,,0
247,9,10457,##b,,,0
248,9,10225,como,,,0
249,9,19019,televisión,,,0
250,9,21349,pública,,,0
251,9,10121,que,,,0
252,9,10126,se,,,0
253,9,15842,pag,,,0
254,9,10113,##a,,,0
255,9,10173,con,,,0
256,9,10125,el,,,0
257,9,46975,dinero,,,0
258,9,10104,de,,,0
259,9,12656,todos,,,0
260,9,10182,los,,,0
261,9,41924,vas,,,0
262,9,15023,##cos,,,0
263,9,10121,que,,,0
264,9,14931,sea,,,0
265,9,10119,un,,,0
266,9,15762,medio,,,0
267,9,10104,de,,,0
268,9,33662,comunicación,,,0
269,9,10110,en,,,0
270,9,10125,el,,,0
271,9,10121,que,,,0
272,9,12656,todos,,,0
273,9,20232,cualquier,,,0
274,9,10113,##a,,,0
275,9,10121,que,,,0
276,9,14931,sea,,,0
277,9,75166,nuestra,,,0
278,9,38938,ide,,,0
279,9,30413,##ología,,,0
280,9,11573,nos,,,0
281,9,14541,sent,,,0
282,9,73983,##amos,,,0
283,9,76136,representado,,,0
284,9,10107,##s,,,0
285,10,12655,todo,,,1
286,10,22690,ello,,,1
287,10,10183,por,,,0
288,10,36800,razón,,,0
289,10,10104,de,,,0
290,10,10109,la,,,0
291,10,37751,solid,,,0
292,10,12476,##ari,,,0
293,10,14084,##dad,,,0
294,10,10127,del,,,0
295,10,19107,conjunto,,,0
296,10,10104,de,,,0
297,10,10109,la,,,0
298,10,32330,sociedad,,,0
299,10,20499,española,,,0
300,10,10173,con,,,0
301,10,34812,quienes,,,0
302,10,10198,su,,,0
303,10,37135,##fre,,,0
304,10,10115,##n,,,0
305,10,10109,la,,,0
306,10,27359,acción,,,0
307,10,46169,directa,,,0
308,10,10104,de,,,0
309,10,10153,una,,,0
310,10,57484,violencia,,,0
311,10,10121,que,,,0
312,10,10321,va,,,0
313,10,25058,dirigida,,,0
314,10,38365,realmente,,,0
315,10,11473,contra,,,0
316,10,15650,toda,,,0
317,10,10109,la,,,0
318,10,32330,sociedad,,,0
319,10,193,y,,,0
320,10,11473,contra,,,0
321,10,10125,el,,,0
322,10,11965,estado,,,0
323,10,10104,de,,,0
324,10,28653,derecho,,,0
325,11,10110,en,,,1
326,11,12943,segundo,,,0
327,11,12081,lugar,,,0
328,11,16348,porque,,,0
329,11,10173,con,,,0
330,11,10109,la,,,0
331,11,86958,normativa,,,0
332,11,43645,fiscal,,,0
333,11,10121,que,,,0
334,11,10152,les,,,0
335,11,10196,es,,,0
336,11,10104,de,,,0
337,11,46553,aplicación,,,0
338,11,10126,se,,,0
339,11,62024,utilizan,,,0
340,11,10225,como,,,0
341,11,44540,instrumentos,,,0
342,11,10104,de,,,0
343,11,95575,elu,,,0
344,11,39200,##sión,,,0
345,11,43645,fiscal,,,0
346,12,193,y,,,1
347,12,19626,us,,,0
348,12,42024,##tede,,,0
349,12,10107,##s,,,0
350,12,10279,han,,,0
351,12,26219,ap,,,0
352,12,10567,##ro,,,0
353,12,51606,##bado,,,0
354,12,10182,los,,,0
355,12,12229,pre,,,0
356,12,12892,##su,,,0
357,12,78630,##puestos,,,0
358,12,10547,este,,,0
359,12,11734,año,,,0
360,12,193,y,,,0
361,12,10125,el,,,0
362,12,15672,anterior,,,0
363,12,193,y,,,0
